,flat_price,Комнат,Площадь,Жилая,Кухня,Этаж,Ремонт,Тип сделки,Лет в собственности,Год постройки,Материал стен,Серия дома,Количество этажей,Лифт,Количество квартир,latitude,longitude,Вид из окон,Тип перекрытий,Горячее водоснабжение,Количество собственников,Мусоропровод,Несовершеннолетние собственники,Прописанные несовершеннолетние,Количество балконов,Тип фундамента,Балкон,Количество лифтов,Грузовой лифт,Высота потолков,price_stats,Детская площадка,Перепланировка,Газ,Спортивная площадка,Год ввода в эксплуатацию,Количество подъездов,Наименьшее количество этажей,Предоплата,Залог,Класс энергоэффективности,Прописано,Коммунальные платежи,Холодное водоснабжение,Комнат в квартире,Площадь комнаты,Теплоснабжение,Санузел,Энергоснабжение
73,11 000 000,1,34,"17,1",9,5,Косметический,Альтернатива,Больше пяти,1959,Железобетон,1-510,5,,,55.803944,37.795538,,Железобетонный,,,,,,,Иной,,,,,,,,,,,,,,,,,,,,,,,
74,120 000 000,6,"203,3","143,6","30,5",2,Дизайнерский,Свободная продажа,,1900,Кирпичный,01-пз индивидуальный проект,4,,,55.756721,37.59648},,Деревянный,,,,,,,Ленточный,нет,,,,,,,,,,,,,,,,,,,,,,
75,16 800 000,3,74,,7,1,,,,1957,Кирпичный,инд. i,5,,,55.677418,37.657134,,Железобетонный,,,,,,1,Ленточный,,,,,,,,есть,,,,,,,,,,,,,,,
76,35 500 000,3,96,,,3,Отсутствует,Свободная продажа,,2022,Монолитный,,25,есть,394,55.696448,37.473707,во,Железобетонный,,,,,,,,нет,,,3.1,,,,,,,,,,,,,,,,,,,
77,9 150 000,3,"63,2","51,9",6,8,,Свободная продажа,,1975,Кирпичный,01-пз индивидуальный проект,9,есть,,"55.55941,","7.34709},",во,Железобетонный,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
78,10 920 000,,"44,2",26,8,16,,Свободная продажа,,2022,Монолитный,,17,,224,55.513525,37.574318,,Железобетонный,,,,,,,,нет,,нет,,,,,нет,,,,,,,,,,,,,,,
79,12 500 000,1,39,19,8,12,Косметический,Свободная продажа,Больше пяти,1998,Иные,П-44,17,есть,,55.670387,37.577391,,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,56 000 000,4,176,130,23,7,Дизайнерский,Свободная продажа,,2002,Монолитный,II-14,19,есть,,55.794239,37.809803,во,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,4 900 000,,17,,,1,,Свободная продажа,,1989,Железобетон,П-30,14,есть,,"55.64252,",7.348177},,Железобетонный,,,,нет,нет,,,нет,1,,,,,нет,,,,,,,,,,,,,,,,
82,11 150 000,1,"34,8","19,4","9,5",8,косметический,Свободная продажа,,1969,Монолитный,И-209а,14,есть,,"55.63003,","7.60328},",во,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,85 000 000,4,184,,,22,под ключ,Свободная продажа,,2008,Монолитный,01-пз индивидуальный проект,31,есть,,55.719014,37.478801,,Железобетонный,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,
84,10 600 000,1,"35,3",15,10,9,,Свободная продажа,,2020,Монолитный,,23,есть,,55.634237,37.332169,во,Железобетонный,,,есть,,,,,нет,,,,,,,,,,,,,,,,,,,,,,
85,140 000 000,4,175,120,15,24,,Свободная продажа,,2010,Монолитный,,48,есть,,55.661333,37.509352,,Железобетонный,,,,,,,Свайный,нет,,,,,,,,,,,,,,,,,,,,,,
86,16 200 000,3,"70,6","43,5",10,9,Косметический,Свободная продажа,,2007,Железобетон,01-пз индивидуальный проект,14,есть,,55.999702,37.20273},во,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,24 050 000,3,55,,7,7,,,,1964,Кирпичный,"14/14, индивидуальный",8,есть,,55.684868,37.548833,,Железобетонный,,,есть,,,1,,,1,,,,,,есть,,,,,,,,,,,,,,,
88,26 500 000,3,131,69,21,2,косметический,Альтернатива,,1972,Монолитный,П-44,23,есть,,"55.65658,",7.404788},во,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,32 000 000,3,"105,9",,"17,3",10,,,,2009,Монолитный,01-пз индивидуальный проект,25,есть,,55.653908,37.400153,,Железобетонный,,,есть,,,1,,,,,,,,,,,,,,,,,,,,,,,,
90,11 980 000,2,"50,7",32,"8,5",3,,Свободная продажа,,1976,Железобетон,П-47,12,есть,,55.840826,37.457358,,Железобетонный,,,,,,,,нет,2,,,,,,,,,,,,,,,,,,,,,
91,13 500 000,2,"51,1","22,8","17,5",13,,Свободная продажа,,2022,Панельный,,17,,,"55.5502,""",".4877},""l",,Железобетонный,Центральное,,,,,,,нет,,нет,,,есть,,,,,,,,,,,,,,,,,
92,20 000 000,4,"64,3",52,,1,Евро,Свободная продажа,От трех до пяти,2020,Монолитный,01-пз индивидуальный проект,25,есть,,55.644877,37.70267},,Железобетонный,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,10 500 000,1,"32,1","18,6",6,5,косметический,Свободная продажа,,1975,Железобетон,II-49,9,есть,,55.866172,37.614419,на,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,12 670 000,1,45,"22,3","11,2",9,Требует ремонта,Свободная продажа,,2022,Монолитный,,23,есть,576,55.647432,37.38631},на,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
